gameDate,visitorsTeam,visitorsTeamPoints,homeTeam,homeTeamPoints
2021-10-19,Brooklyn Nets,104,Milwaukee Bucks,127
2021-10-19,Golden State Warriors,121,Los Angeles Lakers,114
2021-10-20,Indiana Pacers,122,Charlotte Hornets,123
2021-10-20,Chicago Bulls,94,Detroit Pistons,88
2021-10-20,Boston Celtics,134,New York Knicks,138
2021-10-20,Washington Wizards,98,Toronto Raptors,83
2021-10-20,Cleveland Cavaliers,121,Memphis Grizzlies,132
2021-10-20,Houston Rockets,106,Minnesota Timberwolves,124
2021-10-20,Philadelphia 76ers,117,New Orleans Pelicans,97
2021-10-20,Orlando Magic,97,San Antonio Spurs,123
2021-10-20,Oklahoma City Thunder,86,Utah Jazz,107
2021-10-20,Sacramento Kings,124,Portland Trail Blazers,121
2021-10-20,Denver Nuggets,110,Phoenix Suns,98
2021-10-21,Dallas Mavericks,87,Atlanta Hawks,113
2021-10-21,Milwaukee Bucks,95,Miami Heat,137
2021-10-21,Los Angeles Clippers,113,Golden State Warriors,115
2021-10-22,New York Knicks,121,Orlando Magic,96
2021-10-22,Indiana Pacers,134,Washington Wizards,135
2021-10-22,Charlotte Hornets,123,Cleveland Cavaliers,112
2021-10-22,Toronto Raptors,115,Boston Celtics,83
2021-10-22,Brooklyn Nets,114,Philadelphia 76ers,109
2021-10-22,Oklahoma City Thunder,91,Houston Rockets,124
2021-10-22,New Orleans Pelicans,112,Chicago Bulls,128
2021-10-22,San Antonio Spurs,96,Denver Nuggets,102
2021-10-22,Phoenix Suns,115,Los Angeles Lakers,105
2021-10-22,Utah Jazz,110,Sacramento Kings,101
2021-10-23,Atlanta Hawks,95,Cleveland Cavaliers,101
2021-10-23,Miami Heat,91,Indiana Pacers,102
2021-10-23,Dallas Mavericks,103,Toronto Raptors,95
2021-10-23,Detroit Pistons,82,Chicago Bulls,97
2021-10-23,New Orleans Pelicans,89,Minnesota Timberwolves,96
2021-10-23,Milwaukee Bucks,121,San Antonio Spurs,111
2021-10-23,Phoenix Suns,105,Portland Trail Blazers,134
2021-10-23,Memphis Grizzlies,120,Los Angeles Clippers,114
